"{{-0.30785934886885863, 1.1901249018397522}, {-0.4015188108279065, 1.140093928170958}, {-0.4077888087260967, 1.1360052577676139}}","{0.38824492651729775, -0.2598466883431131, -0.8841637719284223}"
"{{-0.4077888087260967, 1.1360052577676139}, {-0.31157069920364483, 1.1874029684362357}, {-0.30785934886885863, 1.1901249018397522}}","{0.3882466413118763, -0.2598481211009132, -0.8841625978689511}"
"{{-0.4015188108279065, 1.140093928170958}, {-0.4589326274780409, 1.078242063665344}, {-0.4667717630362841, 1.0724638711121717}}","{0.45972090652192915, -0.09077085489605505, -0.8834123272900911}"
"{{-0.4667717630362841, 1.0724638711121717}, {-0.4077888087260967, 1.1360052577676139}, {-0.4015188108279065, 1.140093928170958}}","{0.4597492311440032, -0.09077949904217476, -0.8833966985540244}"
"{{-0.05664527502748805, 1.2343407749784847}, {-0.19042216985277277, 1.2218003564429167}, {-0.189045846991796, 1.2076170107558468}}","{0.15928318952140386, -0.806683498909905, -0.5691138709628873}"
"{{-0.189045846991796, 1.2076170107558468}, {-0.05277216584884473, 1.2203915166984327}, {-0.05664527502748805, 1.2343407749784847}}","{0.1592832978261652, -0.8066816928891579, -0.5691164005641582}"
"{{-0.19042216985277277, 1.2218003564429167}, {-0.31157069920364483, 1.1874029684362357}, {-0.31245519863003474, 1.1725784502222147}}","{0.4567419135093769, -0.6824106590756988, -0.5707035279579613}"
"{{-0.31245519863003474, 1.1725784502222147}, {-0.189045846991796, 1.2076170107558468}, {-0.19042216985277277, 1.2218003564429167}}","{0.45675329833390116, -0.6824445794951614, -0.570653853381167}"
"{{-0.31157069920364483, 1.1874029684362357}, {-0.4077888087260967, 1.1360052577676139}, {-0.4104690595325736, 1.1202218514586666}}","{0.6823964460199797, -0.45671852754495, -0.5707392373549182}"
"{{-0.4104690595325736, 1.1202218514586666}, {-0.31245519863003474, 1.1725784502222147}, {-0.31157069920364483, 1.1874029684362357}}","{0.6824056632791078, -0.45672914755537447, -0.5707197179859322}"
"{{-0.4077888087260967, 1.1360052577676139}, {-0.4667717630362841, 1.0724638711121717}, {-0.4705518121521985, 1.0554949897226207}}","{0.8066199940691119, -0.1592706502124861, -0.5692073832522185}"
"{{-0.4705518121521985, 1.0554949897226207}, {-0.4104690595325736, 1.1202218514586666}, {-0.4077888087260967, 1.1360052577676139}}","{0.8066062243325796, -0.15926399812180037, -0.5692287569775436}"
"{{-0.44856340971517994, 1.0554938903024988}, {-0.456926332108726, 0.9950795617359579}, {-0.4597904804971464, 1.0119340846919451}}","{-0.9480286159101985, -0.18719036365105837, 0.2572965432561777}"
