"{-0.9226955197748076, 1.6160149837120616}","{-0.9313839149169078, 1.6475262799220858}","{-1.0243949716931242, 1.7250660353307454}"
"{-1.0242409893850641, 1.6955765661873088}","{-1.0243949716931242, 1.7250660353307454}","{-1.1072801433917285, 1.813999008901424}"
"{-1.1072801433917285, 1.813999008901424}","{-1.1157052526688305, 1.78937164335485}","{-1.0242409893850641, 1.6955765661873088}"
"{-0.9313839149169078, 1.6475262799220858}","{-0.9226955197748076, 1.6160149837120616}","{-0.8118992917103383, 1.5503957902568748}"
"{-0.9188229529759948, 1.5784281486353173}","{-0.9226955197748076, 1.6160149837120616}","{-1.0242409893850641, 1.6955765661873088}"
"{-0.6006141279458246, 2.1478997274713394}","{-0.4647867444461962, 2.1210800543555783}","{-0.5137897515133316, 2.256767398963512}"
"{-0.9198516483103973, 1.937669767337102}","{-0.8463148569412223, 2.047543112832871}","{-0.8893736154603854, 2.18437595860525}"
"{-1.0241722872052024, 1.657670351529719}","{-1.0242409893850641, 1.6955765661873088}","{-1.1157052526688305, 1.78937164335485}"
"{-0.5137897515133316, 2.256767398963512}","{-0.6475011715724324, 2.2831684498579135}","{-0.6006141279458246, 2.1478997274713394}"
"{-1.0245518474281097, 1.7352616085531434}","{-1.0243949716931242, 1.7250660353307454}","{-0.9313839149169078, 1.6475262799220858}"
"{-0.8118992917103383, 1.5503957902568748}","{-0.8309459101003654, 1.585251694322913}","{-0.9313839149169078, 1.6475262799220858}"
"{-0.9403137159963061, 1.660785296449784}","{-0.9313839149169078, 1.6475262799220858}","{-0.8309459101003654, 1.585251694322913}"
"{-1.0242409893850641, 1.6955765661873088}","{-1.0241722872052024, 1.657670351529719}","{-0.9188229529759948, 1.5784281486353173}"
"{-1.0987197726157747, 1.8180822719364658}","{-1.1072801433917285, 1.813999008901424}","{-1.0243949716931242, 1.7250660353307454}"
"{-0.9313839149169078, 1.6475262799220858}","{-0.9403137159963061, 1.660785296449784}","{-1.0245518474281097, 1.7352616085531434}"
"{-0.8341804660563784, 1.7171385807721486}","{-0.8598094000977538, 1.5873404309496992}","{-0.8071812832761579, 1.512910802561358}"
"{-1.1157052526688305, 1.78937164335485}","{-1.1072801433917285, 1.813999008901424}","{-1.1751141511713459, 1.9083471563014476}"
"{-1.1157052526688305, 1.78937164335485}","{-1.1194908770208394, 1.7521726941407347}","{-1.0241722872052024, 1.657670351529719}"
"{-0.8034461854895729, 1.5123692903333135}","{-0.8118992917103383, 1.5503957902568748}","{-0.9226955197748076, 1.6160149837120616}"
"{-1.0243949716931242, 1.7250660353307454}","{-1.0245518474281097, 1.7352616085531434}","{-1.0987197726157747, 1.8180822719364658}"
"{-1.1194908770208394, 1.7521726941407347}","{-1.1157052526688305, 1.78937164335485}","{-1.1951443117871137, 1.897421352814719}"
"{-1.1751141511713459, 1.9083471563014476}","{-1.1951443117871137, 1.897421352814719}","{-1.1157052526688305, 1.78937164335485}"
"{-0.9226955197748076, 1.6160149837120616}","{-0.9188229529759948, 1.5784281486353173}","{-0.8034461854895729, 1.5123692903333135}"
"{-0.8309459101003654, 1.585251694322913}","{-0.8506371769814279, 1.602828492184024}","{-0.9403137159963061, 1.660785296449784}"
