"{-0.4589326274780409, 1.078242063665344}","{-0.4674951960629281, 1.0163882058552924}","{-0.4755673878339037, 1.0089204219404757}"
"{-0.4755673878339037, 1.0089204219404757}","{-0.4667717630362841, 1.0724638711121717}","{-0.4589326274780409, 1.078242063665344}"
"{-0.4674951960629281, 1.0163882058552924}","{-0.4272054383922027, 0.9663509839834822}","{-0.4341766959524494, 0.9575167245322272}"
"{-0.4341766959524494, 0.9575167245322272}","{-0.4755673878339037, 1.0089204219404757}","{-0.4674951960629281, 1.0163882058552924}"
"{-0.4272054383922027, 0.9663509839834822}","{-0.34499755610183885, 0.9328587355881889}","{-0.3497237198752786, 0.9231099501507185}"
"{-0.3497237198752786, 0.9231099501507185}","{-0.4341766959524494, 0.9575167245322272}","{-0.4272054383922027, 0.9663509839834822}"
"{-0.34499755610183885, 0.9328587355881889}","{-0.2278048523358396, 0.9206397981627638}","{-0.22933004936967505, 0.9105568230868842}"
"{-0.22933004936967505, 0.9105568230868842}","{-0.3497237198752786, 0.9231099501507185}","{-0.34499755610183885, 0.9328587355881889}"
"{-0.4667717630362841, 1.0724638711121717}","{-0.4755673878339037, 1.0089204219404757}","{-0.4795124086418528, 0.9907655718787681}"
"{-0.4795124086418528, 0.9907655718787681}","{-0.4705518121521985, 1.0554949897226207}","{-0.4667717630362841, 1.0724638711121717}"
"{-0.4755673878339037, 1.0089204219404757}","{-0.4341766959524494, 0.9575167245322272}","{-0.4373493244723005, 0.9384019642679665}"
"{-0.4373493244723005, 0.9384019642679665}","{-0.4795124086418528, 0.9907655718787681}","{-0.4755673878339037, 1.0089204219404757}"
"{-0.4341766959524494, 0.9575167245322272}","{-0.3497237198752786, 0.9231099501507185}","{-0.3513200224340342, 0.9033529318016503}"
"{-0.3513200224340342, 0.9033529318016503}","{-0.4373493244723005, 0.9384019642679665}","{-0.4341766959524494, 0.9575167245322272}"
"{-0.3497237198752786, 0.9231099501507185}","{-0.22933004936967505, 0.9105568230868842}","{-0.22867938534499374, 0.8905654801431533}"
"{-0.22867938534499374, 0.8905654801431533}","{-0.3513200224340342, 0.9033529318016503}","{-0.3497237198752786, 0.9231099501507185}"
